BldgNo,BldgLoc,BldgType,BldgHeight,SRouterBF,SRinnerBF,SRouterAF,SRinnerAF
13,Overlandpark,Commercial,Highrise,34005,27664,29095,27479
13,Columbia,Industrial,Highrise,34352,30576,29084,27067
13,Columbia,Residential,Lowrise,34235,32663,29060,26532
13,Columbia,Residential,Highrise,27957,27747,24799,22435
14,Overlandpark,Industrial,Highrise,27686,30653,24786,22020
14,Overlandpark,Residential,Midrise,27957,32737,24770,21555
14,Columbia,Residential,Midrise,31324,27712,27245,25280
14,Overlandpark,Residential,Highrise,31353,30627,27237,24844
14,Overlandpark,Commercial,Highrise,31219,32703,27214,24310
15,Overlandpark,Industrial,Lowrise,33754,27664,29095,27479
15,Overlandpark,Residential,Lowrise,33235,30576,29084,27067
15,Columbia,Residential,Lowrise,33970,32663,29060,26532
15,Columbia,Residential,Lowrise,27245,27747,24799,22435
15,Overlandpark,Residential,Midrise,27253,30653,24786,22020
16,Overlandpark,Residential,Lowrise,27903,32737,24770,21555
16,Columbia,Residential,Highrise,31523,27712,27245,25280
16,Columbia,Commercial,Highrise,31252,30627,27237,24844
16,Columbia,Industrial,Midrise,31173,32703,27214,24310
16,Overlandpark,Commercial,Midrise,33354,27664,29095,27479
17,Overlandpark,Industrial,Highrise,33531,30576,29084,27067
17,Columbia,Residential,Lowrise,33924,32663,29060,26532
17,Columbia,Residential,Lowrise,28000,25261,24804,22455
17,Columbia,Residential,Highrise,28545,28022,24787,22137
17,Overlandpark,Commercial,Lowrise,28686,30132,24773,21718
18,Columbia,Industrial,Lowrise,31654,25225,27250,25299
18,Columbia,Residential,Highrise,31863,27996,27238,24962
18,Overlandpark,Residential,Highrise,31256,30098,27219,24432
18,Overlandpark,Residential,Lowrise,34864,25180,29096,27496
18,Overlandpark,Residential,Midrise,34655,27947,29085,27158
19,Columbia,Residential,Highrise,34005,30060,29069,26676
19,Columbia,Residential,Lowrise,27954,25261,24804,22455
19,Columbia,Commercial,Midrise,27678,28022,24787,22137
19,Columbia,Industrial,Lowrise,27957,30132,24773,21718
19,Columbia,Residential,Highrise,30219,25225,27250,25299
20,Overlandpark,Residential,Midrise,31565,27996,27238,24962
20,Overlandpark,Industrial,Midrise,31219,30098,27219,24432
20,Columbia,Residential,Highrise,33454,25180,29096,27496
20,Overlandpark,Residential,Midrise,33582,27947,29085,27158
20,Columbia,Industrial,Lowrise,33970,30060,29069,26676
20,Overlandpark,Residential,Highrise,27903,25261,24804,22455
